order_id,product_id,seller_id,price,shipping_charges
v6px92oS8cLG,qejhpMGGVcsl,IjlpYfhUbRQs,170.8,23.79
NpJz7zF9U1ae,MJ82dNJNiV7U,2a07LobkzHUx,95.03,60.35
Q97dFuo1kaq9,vndXhZ66Bwpl,1DpugyRBC5sk,28.82,16.92
07j6mlMhSVtx,2RxPIb6Sjlm1,V74ci3dl1Npa,222.98,31.89
P5R6jr1qZdh4,YCMS6jUWbEbe,2IxTbqKqgUdA,139.98,14.91
43It0OEHVyJe,l0Q038BC2u3G,5Tuxay3bG3t7,403.9,31.0
ddXx4T93MeaI,V84ooqHQgeH2,STj3c88kfxpu,167.0,20.9
MhDudBaAab78,aYw1jx6U0ZzQ,VnAPb1lEZYQ6,3.49,30.66
YTztQOHlvuBg,SESkOgF0nWnh,YVBAT3QqF9Qj,89.1,34.6
9G9EHbafs7NW,lkPBqpnGNyKe,O04i82YS0uAJ,165.0,9.45
VtQvdStc00Xd,uCnShK796Rpb,OkFthMYQJf3H,692.0,11.36
KJL5uJuZzKxr,QzAC1fDWMbmk,ShJbjTW0ZGor,26.68,29.56
C21fWds5zL0W,MeFPAUcWfyAo,5Ja2lH0N2OZt,68.99,27.8
ph9ImXx6aMjl,Pb29t2XBfP6Q,2a07LobkzHUx,176.97,35.87
C3u0OwYQ8nuP,qI5i1mUxo5tX,EGpv4plsYpt1,3.5,2.46
8g4jF6hPD6tG,ch26pynh9FL6,AHG0TE6bRNNY,31.77,23.6
IBT786JmVIAa,eTlPil30tvIn,3cqSxyYyqpx6,188.8,22.11
qcDbJ8F0FIjM,EZlH1lJVfFqj,CQsufpmy1WxU,1332.5,6.58
0MQGlO2eQrNG,mfq8n5MEY4eP,XoReeOEjvEuw,770.0,67.11
zb8Qfa2K9ynp,TdryLJINHQ9O,dQCmV6mcOXGX,109.82,55.54
LLWFihCYlP6a,B2udqVNGe7sU,AHG0TE6bRNNY,148.5,27.36
4qLswBjaDZnT,nS95HUh6SK36,2a07LobkzHUx,98.62,54.64
XXzZNogGt47r,cT3PvVNqyIpQ,vmUdCiLPoz75,1122.0,20.79
zh6skhlWLDTv,2oRZ0O0Cvxg1,cjilIa8d2RUG,10.6,50.43
kuyUMcYHFGqn,5WcLgWtO04vH,ruq0u2ZpAMDr,403.9,15.77
efc3TQanhsCE,jyqvHPkDKFDV,DHOPtCppeECW,41.1,47.55
n8p0M8Vco4SQ,5hqQbR7p5r2D,oGYw3FCx0i23,43.21,121.95
OiIetUyiPLHG,fJOMyLSpholI,ruq0u2ZpAMDr,127.77,37.87
PC71lF6z451l,lFGT2p3CDtxY,luzDO2kXE6wp,49.97,38.82
qcXjhr3DZYmI,xj8TsBOfCz2Q,DAXcLJj7W7BQ,453.7,47.55
3SQKKPbTrStx,LEtlZnZPgiXx,3jwvL6ihC45G,24.1,32.34
pHtHYRoip8Cl,gdZxFB7RkmeM,wieAWPlzjuX4,699.9,47.55
yGQcdep9edOe,RO8Eso0VLlkB,CdW7Qr5M6GEr,274.49,29.34
xmCgQrZviQ4N,PNxV7rsy2fgg,73jr4z4JJLzT,509.99,17.39
