product_id,product_category_name,product_weight_g,product_length_cm,product_height_cm,product_width_cm
qUS5d2pEAyxJ,costruction_tools_garden,2200.0,16.0,16.0,16.0
639iGvMyv0De,toys,1450.0,68.0,3.0,48.0
Y0T4Ca4BXK8U,bed_bath_table,3975.0,46.0,12.0,43.0
IUykT5z5LcPW,toys,250.0,45.0,15.0,35.0
0UHKKyYmxWfq,toys,1200.0,30.0,23.0,30.0
V3ksL8RRt2uO,toys,350.0,21.0,22.0,22.0
CBuRjOln99hg,auto,350.0,20.0,15.0,15.0
kuUbPNBMgk7o,toys,2150.0,30.0,19.0,25.0
ro08JPncYzLh,garden_tools,1650.0,30.0,22.0,30.0
saFIRNuu8V6H,toys,1500.0,20.0,30.0,30.0
uicu7Mpz6xlZ,toys,950.0,100.0,5.0,20.0
tRV6VjdwdLAm,toys,1500.0,40.0,30.0,30.0
Hwaj6cncrjwO,toys,1300.0,30.0,30.0,30.0
YgnBaIterOVh,toys,2650.0,16.0,16.0,62.0
SLTlrWtcYt1m,toys,1750.0,37.0,22.0,40.0
bDhxHlkU0GeF,toys,1100.0,22.0,21.0,16.0
VCOwCoc0C3aj,toys,1200.0,30.0,4.0,20.0
mKDM0qdFnNNd,toys,127.0,18.0,10.0,14.0
htOWZMHmysDe,toys,14900.0,40.0,60.0,40.0
VO111AOA1QIP,baby,550.0,50.0,10.0,50.0
IsLB3oNMsX7k,furniture_decor,8950.0,30.0,35.0,30.0
7IfEqKdKlG9j,toys,200.0,16.0,10.0,16.0
hoBYqNvOyd5V,housewares,30000.0,60.0,60.0,60.0
tfJojxEnA32p,toys,2200.0,40.0,15.0,30.0
n3QjhUa3JbkT,toys,500.0,17.0,17.0,16.0
0vbEvli2JYJu,toys,1383.0,50.0,10.0,40.0
xl7fxh09W8xU,toys,4105.0,67.0,10.0,67.0
bumRSmIPLuYa,toys,14400.0,30.0,50.0,32.0
Hh61P9XhdxJT,furniture_decor,2850.0,40.0,5.0,44.0
jcZ2MOqKsGsh,toys,1590.0,38.0,20.0,23.0
etUc3o0rjL6e,toys,2220.0,20.0,30.0,30.0
