order_id,payment_sequential,payment_type,payment_installments,payment_value
Ulpf9skrhjfm,1,credit_card,4,249.25
bwJVWupf2keN,1,credit_card,2,27.79
xNba906m4TM1,1,credit_card,1,123.79
VEDSMTavbQwk,1,credit_card,5,146.51
DzNM8wrcMGFH,1,wallet,1,1521.75
StM5K4TLyrt5,1,credit_card,1,60.56
HqV5f8K2UYoA,1,credit_card,3,281.52
XupzjrovQeez,1,wallet,1,163.1
gVMP1bPDg69L,1,wallet,1,97.19
INolFarYfmEO,1,credit_card,3,50.88
LV0vJIDricq1,1,wallet,1,27.16
tOTdnjpI8Udp,1,credit_card,6,283.61
ebR5efLCCpiq,1,credit_card,1,242.59
YOKYMSjKRCMN,1,credit_card,8,580.07
57XZHymoJ10l,1,credit_card,1,38.51
HNXQI2lmI4AR,1,wallet,1,247.64
QOaNjVewOOTX,1,credit_card,1,44.82
O5bLel2qV1yT,1,debit_card,1,27.71
NnoGZNF5rNkD,1,wallet,1,573.56
EfyYNfniuxQP,1,credit_card,3,29.68
PBvPGqQxwFDV,1,credit_card,9,386.32
OQHE8Ve7n811,1,credit_card,4,273.32
Pp9bMvTIgPDs,1,credit_card,8,61.34
jJgDALmwe6f6,1,wallet,1,31.6
qJHIiWyTAizV,1,credit_card,3,127.37
vSug5AqRo9gE,1,wallet,1,310.2
cuAQQZUhTEwb,1,credit_card,10,278.41
yYk586LcCRYw,1,credit_card,2,173.29
2HQ26ShSPhCA,6,voucher,1,81.16
h8KEpd8n4gLL,1,credit_card,3,972.48
JQnDQBQZYwWs,1,credit_card,1,1.51
IKSlI8m4cXvg,1,credit_card,1,92.44
ubzoVELLkeoU,1,credit_card,2,11.78
FfjA9YfQ045p,1,wallet,1,106.87
gMRkjz3CrUnd,1,credit_card,3,317.95
1sBsJeYdxAI1,1,credit_card,1,1300.57
KZdbnccspG6C,1,credit_card,9,142.23
aK8BUDSAUnAJ,1,credit_card,4,191.4
hdpKYesvGZeq,1,wallet,1,223.58
Weun8cqlOfrB,1,wallet,1,316.76
XQuhwBeGcadT,1,wallet,1,28.64
8LfYKHvDTqIN,1,credit_card,10,37.45
0gxtU32XLhDR,1,credit_card,3,1.22
NqkFWmoEkOni,1,credit_card,6,303.46
Xz9xN4y9ehaz,1,wallet,1,123.57
Y8qzXFVs2NdT,1,credit_card,3,138.65
dZuZBawSN57o,1,credit_card,5,183.4
rUQbmLj5M2QE,1,credit_card,1,114.79
TTBF9yOgN5EH,1,credit_card,5,254.19
FyxzH1mhMBKM,1,credit_card,1,216.74
91fTReRt3k2s,1,credit_card,1,242.66
EztPEldn1Aha,1,credit_card,4,317.31
3VPXNauA1hA6,1,credit_card,1,121.64
RNy2CkQv9QO4,1,credit_card,2,193.82
lFLPAbeUgKTV,1,credit_card,8,70.07
P6bxg4N8Cw1J,1,credit_card,2,195.44
YykeWYFjVZYE,1,credit_card,1,93.73
dHuy4so1fO7s,1,credit_card,1,171.04
MnaiNSJ6870y,1,credit_card,5,71.34
39TPZFziHhP2,1,debit_card,1,427.77
afDRwL1WXpA1,1,credit_card,2,1692.05
r7702612Pdfh,1,wallet,1,195.0
15IH5WU11wIZ,1,credit_card,3,819.47
GHfebQ8QpH8l,1,credit_card,1,223.93
B8V4EaW2eSh0,1,credit_card,3,101.01
FwheKtHhpBN2,1,credit_card,2,56.11
TGt9bWN79Nqz,1,credit_card,1,65.21
yr2H21aRoD3h,1,credit_card,1,193.73
HG9ftAgQxhF4,1,credit_card,4,61.31
5WmmehR17vqk,2,voucher,1,131.31
SSIHiYAn9TpY,1,credit_card,6,134.88
FEIP98BAAYWW,1,credit_card,5,353.92
qZUh5hge1625,1,credit_card,5,22.27
G07cmuGKW2nd,1,credit_card,18,96.15
ZJ852hQOuseH,1,credit_card,5,63.83
MsJrJ9vfOmvF,1,wallet,1,147.23
ItgUvaUVS9ws,1,credit_card,2,747.25
1oVrUY75oStu,1,credit_card,1,137.93
YuEmUNymzcGv,1,credit_card,4,1221.39
jkbVqP4aWneg,1,credit_card,4,554.49
dxOwaxOE1nT0,1,credit_card,1,433.34
b2u1yVa2LdNK,1,credit_card,4,208.44
QHnQzNJRBS8w,1,credit_card,8,74.21
ZHsymoudGwgy,1,credit_card,8,39.67
7PK4NRV2nhjw,1,credit_card,2,927.87
FhbdaS77ToDk,9,voucher,1,13.48
KWuqSsip5IPL,1,wallet,1,124.92
t4Bk5mYUoL8U,1,credit_card,2,158.58
XVYh21794I2q,1,credit_card,1,479.17
V5N9aEmfprUb,1,credit_card,9,37.79
uleJoXLnjRWP,1,credit_card,4,59.96
su9qtpmYRRZ4,1,wallet,1,134.38
NwV6qaWsqsqx,1,credit_card,10,94.22
Yg64phKM9oJa,1,credit_card,3,48.19
4T5ho4MRp4mJ,1,credit_card,4,3009.53
I4h2Vl1Vy4vZ,1,credit_card,4,203.82
DtKD3sdpBpwJ,1,credit_card,1,112.7
6VKTocEU4N5n,1,wallet,1,76.14
CjC2wYcYXNMR,1,credit_card,5,72.18
gxecAzqugRRh,1,credit_card,1,152.25
uzwPcONTw6nT,1,credit_card,1,116.99
3wKSoQagZseT,1,credit_card,1,91.6
M7QS4SdwfiNR,6,voucher,1,959.96
zBGSaqk6atNi,5,voucher,1,704.32
zMDPbvlnXGPI,1,credit_card,4,431.15
SkDe2m1n0yog,1,credit_card,2,87.36
yFIPmG5Qso5x,1,credit_card,2,225.03
mQr7ud7RxjFh,1,wallet,1,338.84
4EczELWhsgzG,1,wallet,1,67.95
fYRfJWDPpozD,1,credit_card,5,86.43
dRXwZhgcISmk,1,credit_card,10,133.1
g3HasEpzawM0,1,wallet,1,158.6
8EmYv2JrQoVM,1,credit_card,10,211.44
ECV62MnnmTLX,1,wallet,1,1221.39
4NRNwKsOveDT,1,credit_card,3,284.89
WLTmxfRLxDdY,1,credit_card,5,1378.79
aMOKAbOn7YS7,1,wallet,1,277.99
ucFzWwW4Vl7H,1,wallet,1,148.35
iz8xwkPzbsgV,1,credit_card,4,213.98
Kc54kqG0Wpw8,1,credit_card,2,117.1
7Y0OW6ELHx3i,1,wallet,1,210.43
DUCbyz8Y4PXF,1,debit_card,1,242.99
vPxoToV6CRId,1,credit_card,2,74.91
Es4nrInds5z1,1,credit_card,1,123.18
UmAkM11j0kiw,2,voucher,1,154.12
kRiuUpaRSRej,1,credit_card,5,168.02
lFU2gz4lUKB7,1,credit_card,2,912.55
r3hALQT93EsB,1,credit_card,10,190.53
VGnTuPH9ikhV,1,credit_card,2,151.72
AJotPdRaKwyY,1,credit_card,8,309.32
0wKwjdY1z51U,1,credit_card,1,195.32
iU5dRkT0UbRu,1,credit_card,1,600.3
URhgir8jvpA7,1,credit_card,10,492.92
LB95k1HA7Zcz,1,credit_card,5,521.56
8G2Uai1drYy5,1,credit_card,8,284.63
63ky5p0OERua,2,credit_card,8,1937.64
701sy0G7mOQ4,1,credit_card,3,48.05
lLBlCuLkfwDu,1,credit_card,2,718.09
1MkWBKhNk2G2,1,credit_card,9,179.68
UkX9eB4Ysi2J,1,credit_card,3,171.85
HuQIRVYlkITN,1,wallet,1,61.12
ZcNIUEIyKw56,1,credit_card,6,44.91
GS7TlrcV9EiI,1,credit_card,3,247.26
FylcoNawsxyy,1,credit_card,2,396.03
OLLjAyjGntvG,1,wallet,1,6.39
vXElUhy375Ae,1,credit_card,10,21.31
xmcXAV3y0bzJ,1,wallet,1,484.94
Ku21hqzA50fH,1,credit_card,2,183.43
9D8fitQjsM9C,1,credit_card,10,117.41
xMn70jAErNfN,1,credit_card,1,67.12
DsABekzFQyU4,1,credit_card,1,63.6
v6e0KeIp6TR0,1,credit_card,2,68.37
xyZOTBOGYS1h,1,credit_card,3,100.75
QsnXzn81euhJ,1,credit_card,5,444.1
exOQg7m3Sv9n,1,credit_card,2,368.29
6umanlRafhLf,1,credit_card,10,460.18
BCY4SRQsss8K,1,credit_card,1,238.01
p3rNQye3irvJ,1,credit_card,5,256.92
9HXMZnutBe9j,1,credit_card,1,49.2
f0NtxnekM0Md,1,credit_card,3,210.91
fjJY9zCsuFDi,1,credit_card,5,75.84
cDMJrGrrOoYt,1,debit_card,1,88.33
019iNT2eSEYM,1,credit_card,3,313.93
7J51qVGXlaSG,1,credit_card,8,20.89
yHgXRJyvsYXX,1,credit_card,6,655.55
no1GZs08Zd41,1,credit_card,10,590.9
QMdfpILdzGOX,1,credit_card,1,38.86
Cx0IO6wIeU62,1,credit_card,3,197.45
G0fNhWSqsZb7,1,credit_card,1,379.73
IHXVkQvfAsMA,1,credit_card,1,63.59
E3BBgIXmGWal,23,voucher,1,169.1
C5GkkTqFN4Hr,1,credit_card,1,416.48
vPV8OMoC51eh,1,credit_card,6,557.36
k7u4RM3C6ESy,1,credit_card,2,173.35
4XWA1rachUdJ,1,wallet,1,12.68
5mcR9y7YNybJ,1,credit_card,2,1020.78
2cpMWJDLf8YU,1,credit_card,10,199.2
wLmSeX7aRYYJ,1,credit_card,10,174.15
o35Byv2l3Rnw,1,credit_card,2,257.98
CAI1SLL46Z3S,1,wallet,1,1.53
qDs2n4z4qyXF,1,credit_card,1,948.98
JtVWrzxaXSvF,1,credit_card,2,175.99
LZdw0vc9dWg4,1,credit_card,5,13.4
0rRPuLQbEGKO,1,credit_card,1,44.59
C8CLWr03d0Zs,1,credit_card,1,467.24
msfBKI1i1qIy,1,credit_card,8,88.03
AstXHRBYewOu,1,debit_card,1,817.15
Uhj5QQRSGI2V,1,credit_card,2,411.6
R3nR7MAIFJp8,1,credit_card,2,11.82
0LHWQwuXbRXM,1,credit_card,1,118.25
jOjAlaMd4Bxa,1,credit_card,2,82.31
U825liYb4bEP,1,credit_card,6,639.43
bsmzn44t3VC8,1,credit_card,4,71.58
ckXdHlUPbzjN,1,credit_card,3,1511.86
UqJUVQfXvMIC,1,credit_card,5,128.35
DmHPGG2KKJIt,1,credit_card,2,401.19
M3YhJss5VxJA,1,wallet,1,254.02
gt6vQRWQPSQr,1,wallet,1,285.91
sfxlElxBrIH3,1,credit_card,3,483.09
oTo9v1g6qCDt,1,credit_card,1,161.25
KDzHSkuInYO3,1,credit_card,8,19.57
T9GwXy4K63al,1,credit_card,6,108.53
mB7BTGVlOrJ7,1,wallet,1,475.84
L9SdJmy8vizU,1,credit_card,8,117.14
8MVjxBFCkjl8,1,credit_card,5,174.84
BfEerzMxBUsM,1,credit_card,1,229.99
z2xZKG2is3Xq,1,credit_card,2,20.83
rfUXOUKCptwI,1,credit_card,1,159.42
R6up2KYJbADG,6,voucher,1,335.8
qf88tnNyUpRx,1,debit_card,1,75.58
KPJNHedkLc39,1,credit_card,3,339.49
RuC6cSsNwGSD,1,credit_card,1,173.28
Gl8G0YaaKbCH,1,credit_card,6,279.86
wjBw461L0dNm,1,credit_card,1,818.35
PneId89pjlVF,1,wallet,1,321.74
KcbjEZhinCC7,1,wallet,1,340.02
4XD3XsJnUFnM,1,credit_card,4,239.83
FSFm6KXHD7tM,1,wallet,1,413.15
XFauDZBeZeg0,1,credit_card,3,1803.24
3kQCq4lbaOK9,1,credit_card,10,83.8
ePg7LyHwKeoQ,1,wallet,1,839.49
XyAVofPUCM13,1,credit_card,3,321.2
ItcROAatm9qV,1,credit_card,1,219.43
1SVobHiDbyFI,1,credit_card,2,193.53
A9u8teMLfnqy,1,credit_card,10,44.3
fLr3kTLQXnYs,1,wallet,1,580.44
DdDQ4Z1ZAKjs,1,credit_card,5,1323.3
8SQ9FwzB6DxZ,2,credit_card,5,1226.18
9HPip5W0tprn,1,credit_card,1,20.84
myHhbcDMUjbh,1,credit_card,7,268.29
aFnXzRv4Wn2M,1,credit_card,3,200.04
IRNEiBQEewT3,1,credit_card,3,83.93
ZMIMxYQjyNbO,1,wallet,1,118.7
lsHhBn5cxGQe,1,credit_card,1,178.11
yweE4tuiUKaE,1,credit_card,1,104.36
J6Ad7eJtZJBK,1,wallet,1,77.55
tOfbzStkzwCP,1,credit_card,5,71.59
H8ZDEOpg7Faf,1,credit_card,1,173.66
eYC146tRJ3eS,1,wallet,1,2938.17
7uyJMH917bwZ,1,credit_card,3,257.56
qKs9bwrzCJCx,1,credit_card,10,277.7
GP5cstPcLLQj,1,credit_card,4,41.86
SM4Cj1CZZLkj,1,credit_card,6,447.24
K9wZS26hYDi6,1,credit_card,1,351.69
XCcz3HxevFiN,1,credit_card,3,334.31
efyq0yLeQE1m,1,wallet,1,178.35
BDLXyxkpxOeN,1,credit_card,4,61.76
enWiHbOnJDKY,1,credit_card,1,147.14
RQ6qEjoCbLlB,1,credit_card,10,293.89
