customer_id,customer_zip_code_prefix,customer_city,customer_state
g3nXeJkGI0Qw,4119,jandira,SP
EOEsCQ6QlpIg,18212,uberlandia,MG
85jiDiGSfhTu,4762,guarulhos,SP
gDdkaN8b9s1g,75870,mogi-guacu,SP
9Csx6oXlpLl1,69068,bebedouro,SP
1k71TCYNFCzj,11703,serra,ES
3zvaY9gUH9bO,59020,barra mansa,RJ
ckZATUjYdFd3,54070,sao paulo,SP
GpdbWoJi61Qc,20011,caruaru,PE
QU7yWUgfIpJX,35360,novo hamburgo,RS
rgjb3WchpjHg,57690,goiania,GO
Jw0zo2CWiEs7,95925,sao paulo,SP
MXiUFyGLUs2Z,89031,nova serrana,MG
oiBrZODbJTvz,17017,guacui,ES
mcuPjOLRkNpR,77807,sao paulo,SP
ukZ709Rl8bdF,3809,sao paulo,SP
sk3z82bQhZAO,25651,recife,PE
SNzA2roBQaGK,31744,rio de janeiro,RJ
YanexVtkhb2B,6810,santos,SP
7mxdMPX1ERJj,9445,uberlandia,MG
cWwtMYBNlwy1,98010,porto alegre,RS
bEh2OYyGVzcI,59075,timoteo,MG
CiOHqzRk5bbt,9603,manhuacu,MG
lFEdYUjKo6tu,48010,bom jesus da penha,MG
5XGKxFrzDdYP,25804,caiua,SP
oWBBqGwqpx4m,75630,bom jesus,PI
EeCs1w6JNdPU,39363,primavera do leste,MT
hgHQgpZ9rVHu,95870,itajai,SC
uvuFFZDOAlU7,93410,sao paulo,SP
LkYwWbX35V3p,36700,sao paulo,SP
7qqTmdyVGDMP,99990,sao goncalo,RJ
63cb18M1Z31w,4114,ibirite,MG
cIIcBGeYxzLl,21640,palhoca,SC
asn6Y9BiG6Ma,2261,curitiba,PR
ufG7Q9l2g5Dn,25680,sao paulo,SP
uJZ6s76zSxtN,95173,campinas,SP
tvBnqB57rQrh,2634,betim,MG
EmOTT0NimdgC,64080,resende,RJ
3QWW2QATQoks,2247,maua,SP
JG5L1Y6huM3k,26572,peruibe,SP
iWDrWao0rL2O,89108,taubate,SP
frNd2yIHhY1X,76390,paranaita,MT
tc4f86hhYwpB,95250,salvador,BA
u1gplSGJr1m5,11661,salvador,BA
DRJMerHUON15,6690,matupa,MT
