order_id,product_id,seller_id,price,shipping_charges,customer_id,order_status,order_purchase_timestamp,order_approved_at,order_delivered_timestamp,order_estimated_delivery_date,CustomerClusterID,CustomerPriority,ProductSeasonalClusterID,ProductSeasonalPriority,ProductSalesClusterID,ProductSalesPriority,DeliveryClusterID,DeliveryPriority,DeliveryDelay,product_category_name,customer_zip_code_prefix,customer_city,customer_state,payment_sequential,payment_type,payment_installments,payment_value,product_weight_g,product_length_cm,product_height_cm,product_width_cm,quantity
hVa9934UOH2G,NQ1uE53ACGAW,tNJnfkCxzhmN,48.99,30.66,hCIRTxjfi4er,,2018-02-14 16:30:55,2018-02-14 16:45:31,,,3,1,0,4,0,4,2,1,-6.0,toys,65980,jardinopolis,SP,1,credit_card,3,79.65,300.0,16.0,10.0,16.0,1
cdUGq9DJ3jMW,S8wf9R99agi0,afDjK0KR8kr6,358.99,5.52,auC0Vy7UhAzh,,2018-08-15 19:55:58,2018-08-15 20:10:20,,,1,3,0,4,0,4,0,3,0.0,toys,15102,vila velha,ES,1,credit_card,2,364.51,7575.0,56.0,11.0,32.0,1
Et2ux2imqkWH,p08tG5DdOGae,9mUBYR4LiO1Z,112.33,47.55,VI6Tn74AqWv4,,2017-10-19 11:31:32,2017-10-20 02:46:07,,,3,1,0,4,0,4,2,1,-16.75,toys,85410,pontal,SP,1,wallet,1,159.88,150.0,18.0,4.0,12.0,1
dJw9UPaf1XUw,VEEkd3Sv5yOX,hHl9wKzX8nKN,399.2,16.45,Nra6HoSgl7pk,,2018-06-28 00:41:07,2018-06-28 00:50:33,,,1,3,3,1,0,4,1,2,-29.0,bed_bath_table,70077,caucaia,CE,1,credit_card,1,415.65,1600.0,35.0,20.0,25.0,1
TGfzJhTDiVUo,ckuJn0mW4VDv,9IoQ4CUO45Pc,3999.9,29.48,GUM07maTkoem,,2018-07-26 22:05:42,2018-07-28 02:35:13,,,1,3,3,1,0,4,2,1,-11.23076923076923,toys,36108,cachoeiro de itapemirim,ES,1,wallet,1,4029.38,750.0,17.0,20.0,17.0,1
NN3BbNdfSMGN,1qCIQwyNo1mg,RKad98cTxhSb,619.99,103.62,hiLZlwJt4RkR,,2017-08-27 18:28:26,2017-08-29 04:35:51,,,0,4,0,4,0,4,0,3,0.0,toys,87308,belo horizonte,MG,1,wallet,1,723.61,600.0,45.0,15.0,35.0,1
wPnpM8VmzpsK,qG11fJQQJUkV,9fFFM6RBxCkT,1934.0,19.69,uPt1lH3ki4Nv,,2017-12-20 18:23:40,2017-12-20 18:34:29,,,3,1,0,4,0,4,2,1,-14.0,toys,68005,guarulhos,SP,1,credit_card,4,1953.69,12600.0,16.0,2.0,11.0,1
3imJkVqFKHeQ,Ye0OYpRLykch,9fFFM6RBxCkT,37.84,73.58,D3FSHAMLHGrd,,2017-05-19 23:44:08,2017-05-23 03:45:16,,,0,4,0,4,0,4,1,2,-20.0,toys,38741,rio de janeiro,RJ,1,wallet,1,111.42,1350.0,30.0,30.0,30.0,1
uJnanEk5w0y4,2fgPqNiE86ZQ,9hrosJpQLxRs,44.98,35.19,tZ0fDT5fTdb1,,2018-01-12 23:58:44,2018-01-13 00:55:24,,,3,1,0,4,0,4,2,1,-15.625,toys,99713,belem,PA,1,credit_card,1,80.16999999999999,1250.0,16.0,32.0,16.0,1
4az5mTPTCZHI,9bUnETeKHX8k,pGQkRG4o0zZ9,118.74,37.42,ARA8OlesOXgw,,2017-09-26 14:42:47,2017-09-26 14:56:25,,,3,1,0,4,0,4,2,1,-14.416666666666666,toys,95150,mogi das cruzes,SP,1,credit_card,1,156.16,150.0,16.0,8.0,16.0,1
