product_id,product_category_name,product_weight_g,product_length_cm,product_height_cm,product_width_cm
90K0C1fIyQUf,toys,491.0,19.0,12.0,16.0
1lycYGcsic2F,toys,300.0,17.0,4.0,12.0
TpFZIk33uyGn,toys,2800.0,16.0,31.0,39.0
wdV7yJzaz3Su,toys,4338.0,17.0,12.0,14.0
DXG0TFaZjGHO,toys,200.0,16.0,7.0,11.0
tfgKHMdnTKpJ,toys,425.0,17.0,11.0,14.0
E9OiMOkPkNam,toys,335.0,17.0,11.0,16.0
06Zem5ml9euJ,toys,175.0,17.0,6.0,13.0
yZJweQSasMAW,toys,350.0,19.0,19.0,13.0
kgF2KLJ8Ao3M,toys,107.0,7.0,7.0,10.0
8kUYWjdaVCxf,toys,250.0,41.0,2.0,29.0
R2u3pJSgF7Gr,toys,200.0,19.0,9.0,12.0
lSVmLWTOmgtw,toys,400.0,16.0,16.0,22.0
Mh5csf65CB6I,toys,900.0,28.0,29.0,12.0
hfEa3c65LTA2,toys,5950.0,20.0,20.0,20.0
th6S1t44GAij,toys,1256.0,28.0,26.0,30.0
fUSMr8Wo77AI,toys,70.0,19.0,4.0,15.0
AQRgJU930yvK,toys,5775.0,104.0,35.0,30.0
f21OMkeWX2ZC,toys,30000.0,75.0,58.0,65.0
mKDM0qdFnNNd,toys,127.0,18.0,10.0,14.0
aZ1aneUqyncU,toys,125.0,19.0,5.0,11.0
DXG0TFaZjGHO,toys,200.0,16.0,7.0,11.0
GJ4e2xEfaCmh,auto,75.0,17.0,8.0,13.0
zTW2bowvLdj9,toys,100.0,19.0,2.0,19.0
YG7qG1MQlhjp,toys,200.0,18.0,3.0,20.0
UjLE7WsWfgrO,construction_tools_construction,450.0,16.0,14.0,11.0
nvbYOXncMsv0,toys,600.0,37.0,12.0,31.0
4BAZNq7FQZOV,toys,500.0,23.0,45.0,32.0
G16XPtJuiBOe,toys,150.0,16.0,4.0,13.0
97fSQlZJl4P8,toys,900.0,30.0,8.0,23.0
mwlDII1pL31s,toys,6650.0,23.0,19.0,29.0
N9wgqW59QGza,toys,250.0,22.0,12.0,16.0
n3QjhUa3JbkT,toys,500.0,17.0,17.0,16.0
DMB6KqQisnZE,toys,400.0,20.0,5.0,21.0
OEoHcaKHbdiB,toys,10700.0,100.0,10.0,30.0
Ggd3U51peXoq,electronics,175.0,22.0,11.0,16.0
daiqbsoofbQ7,toys,150.0,17.0,8.0,12.0
dAz11YkQkoue,health_beauty,100.0,20.0,15.0,15.0
xj8TsBOfCz2Q,toys,329.0,20.0,16.0,18.0
GvBzGCvvIC2D,toys,1000.0,53.0,8.0,18.0
BuMA9g0RCLlr,toys,450.0,16.0,7.0,11.0
K9inDFpRP1Y5,toys,588.0,19.0,14.0,17.0
sZPDopwjwXU1,auto,2450.0,30.0,30.0,30.0
KDNXKv9s2evT,home_appliances,500.0,30.0,12.0,17.0
axLBYi1XjP6J,toys,200.0,41.0,2.0,29.0
bdZMcl4443hh,toys,200.0,16.0,13.0,14.0
Djdj2b2qMgNy,toys,150.0,18.0,2.0,16.0
4VIws8ixtz0J,toys,200.0,25.0,7.0,16.0
63xWgMAWpCUv,audio,250.0,16.0,5.0,11.0
5zjlm4wGGKnH,toys,1067.0,32.0,13.0,22.0
ZXaWnDtFtm16,toys,1400.0,16.0,7.0,12.0
iqxjLw041Ngo,toys,476.0,21.0,15.0,17.0
77YHWauoWSee,toys,850.0,20.0,44.0,39.0
s284eb92Zw1i,toys,1500.0,40.0,25.0,20.0
GrFFq2mwLHY2,toys,200.0,16.0,8.0,11.0
8EMcxO7AFhVP,toys,180.0,17.0,10.0,13.0
vTrdy4RV0PS5,toys,2200.0,48.0,25.0,25.0
IiPypLNFQJ7z,toys,50.0,42.0,9.0,25.0
HhAtKukEU7VT,toys,1867.0,36.0,6.0,36.0
wEXYeIBMtNpz,toys,1700.0,65.0,6.0,50.0
JyBhiUYADnbo,toys,250.0,16.0,7.0,11.0
lpU3XJCPa54J,toys,523.0,20.0,16.0,17.0
hXJzBtpOKuuU,toys,4650.0,37.0,20.0,34.0
1zUdSj6NFG6K,auto,450.0,20.0,15.0,15.0
Joe8cEWyRSL5,consoles_games,900.0,22.0,7.0,18.0
PdQSW0L6zcA8,toys,150.0,16.0,12.0,15.0
h2L3kgHs7Aaa,toys,700.0,32.0,15.0,21.0
dshaRMcCMDlF,consoles_games,100.0,20.0,3.0,15.0
CIzjmmwLZi9E,toys,441.0,24.0,20.0,17.0
UGsLZX3s5mEt,construction_tools_construction,1700.0,16.0,11.0,11.0
W0BmO3Zth0WP,toys,650.0,24.0,10.0,20.0
HheG19aBYVwJ,watches_gifts,200.0,16.0,2.0,11.0
oszo5WkcF9hR,toys,6450.0,35.0,25.0,27.0
