order_id,payment_sequential,payment_type,payment_installments,payment_value
Axfy13Hk4PIk,1,credit_card,1,259.14
Dd0QnrMk9Cj5,1,credit_card,1,76.15
VjTVGzqe8U6R,1,credit_card,4,1014.75
mHyhzcUeLGj2,1,credit_card,2,947.72
kxa1InBj9gwP,1,credit_card,1,254.94
j5rwgECNf14O,1,credit_card,2,182.83
NXDsEGbl1pUC,1,credit_card,8,376.61
xfXLgLbCo5BC,2,credit_card,1,166.71
yUz40ih0jYGt,1,credit_card,1,212.78
IeZYtitws7WU,1,credit_card,2,279.54
ZPkh9QhjG7SK,1,wallet,1,211.11
SelY2hgVvruM,1,wallet,1,416.64
0QqNX4xLriht,2,voucher,1,1843.85
00NEIdaOTIgn,1,voucher,1,137.01
XprtHqpLEddw,1,credit_card,3,358.53
x0fzGpICAZ0w,1,credit_card,3,29.22
YUX432Je58GK,1,credit_card,1,203.99
UaZKqhLFwRZP,1,credit_card,3,167.37
lo8oje94TYb7,1,wallet,1,231.27
3ffaVBUrnCxy,1,wallet,1,250.26
Rd6Tke4v8afv,1,credit_card,1,97.89
gZMKyNzWXvcQ,1,voucher,1,457.86
hyJjgFRI44lc,1,wallet,1,112.49
Vtkwb0b4JxKg,1,wallet,1,712.65
z9Zr742C0ASe,1,credit_card,1,214.88
AayA35wXEdbB,1,credit_card,3,112.87
vFUriN4pz2Bi,1,credit_card,6,269.12
1CVQ66HlMRUR,1,wallet,1,419.44
pNSYSUcXxkhB,1,credit_card,2,178.38
9AWAHq3HWS6u,1,credit_card,10,208.59
DlmtCXqKjfWj,1,wallet,1,261.95
KqH0sXMHdItQ,1,credit_card,1,17.22
1pgvtCG93rNg,1,credit_card,10,213.19
iWJeaLiduq7C,3,voucher,1,353.45
1vz8w7BjKsWC,1,credit_card,1,38.76
TySAT9hqufKc,1,credit_card,4,0.48
Y72RuFd0mZnO,1,credit_card,3,90.89
O2vxSz1Ohmit,1,wallet,1,1635.51
CEHnEFl5VOdj,1,credit_card,2,1334.28
JYzOn3Ha1rNQ,1,credit_card,3,238.24
YjpdVhpi6ke5,1,wallet,1,589.2
6NKIoWu3AOZS,1,credit_card,1,26.1
fQ58lYglAHz2,1,credit_card,4,88.49
RCsCygUAyk50,1,credit_card,2,417.83
POj27FIujdqj,1,credit_card,1,99.9
lTxzZyJHvbIZ,1,wallet,1,33.88
PbW1A2IELHIL,1,wallet,1,93.31
RYBegQzM81NV,1,wallet,1,233.0
