customer_id,customer_zip_code_prefix,customer_city,customer_state
hCT0x9JiGXBQ,58125,varzea paulista,SP
mVz5LO2Vd6cL,88868,ilhabela,SP
UkqnhxmX7YMP,25902,porto uniao,SC
TDEBQrhIwApB,1223,itaperuna,RJ
zsCKIdqYLV01,2961,caico,RN
bUornDCZmRD4,3440,sao paulo,SP
v6GelvnCrAk5,18500,sao paulo,SP
SPV4UclettEh,75132,nova iguacu,RJ
yOjH9Exn64WQ,11680,sao paulo,SP
yca6TkmY4yQm,50720,sao joao de meriti,RJ
LooHWGt3K5gp,88650,sao pedro da uniao,MG
0hj86xqZbYSV,53610,sao jose,SC
l2wCGNSY1l3Z,58900,itatiba,SP
tSG89uyaK6MS,66040,ribeirao preto,SP
Ex7BhwPvrGyQ,4551,santana do acarau,CE
ORO4ADUB1jHd,83075,curitiba,PR
jQ0u9oBPe3Mg,79620,sao paulo,SP
JtX09eqY5lk3,74943,sao paulo,SP
eSqRKROmKF9Y,65210,florianopolis,SC
IGPOK4wVaGbv,13065,taubate,SP
EI8c9beFpTSQ,75388,santa ines,MA
iaDXrhsLGSc6,40354,belo horizonte,MG
MNcdWG4E5iDb,72548,brasilia,DF
3JeAegsqlpZ1,65510,sao paulo,SP
yD2x7GOSsjqA,76470,governador valadares,MG
a9gFQyCfrVym,3920,parnaiba,PI
TLYzpBJ3Cbnv,4854,uberlandia,MG
J2bElQYq3gEQ,11446,carapicuiba,SP
qvo2fc2aRUvp,63515,itu,SP
pk1Ke0Nxac36,33930,rio de janeiro,RJ
UlqYPqEYgETA,8535,nilopolis,RJ
M7wmpVTfmiFp,25545,santa cruz do rio pardo,SP
pqIfz7jRxaKh,7911,sao bernardo do campo,SP
bVaqeOVzrNj1,58580,niteroi,RJ
EZkjVsEKMQF0,88130,araraquara,SP
wuCRBXrAQIyN,86375,goiania,GO
jsuJ85mr7Rlb,31525,guarulhos,SP
pfARTA1RWJhn,26140,joinville,SC
G7fLaaLEAieo,44092,concordia,SC
VOohNhPUdkDS,3274,araraquara,SP
dvl5K6eo1ouv,62800,osasco,SP
gngo3QnJVUXB,56460,sao paulo,SP
HtPYXtaKFzex,49180,belo horizonte,MG
3qJ5VThdsczu,6010,uberlandia,MG
lZCaJq9iYKt0,59015,brasilia,DF
ncBjZzosb18g,29330,dom pedrito,RS
E1CIwdUAL7mV,4734,rio de janeiro,RJ
QsVvy2vjoqJ2,88350,passo fundo,RS
eWPTvp2Uxgjr,70298,dourados,MS
SDjEL1DMM89j,3974,assis,SP
A5ypt74Dm5ED,39900,acarau,CE
zwFtWWaE2Ja8,37305,vera,MT
Yu7y0eUjrMjF,1414,sao bernardo do campo,SP
9U87V4FA6owh,70865,sao paulo,SP
LGiyKX8bqvRl,59300,telemaco borba,PR
grsbZ5L1H5ty,19030,monte carmelo,MG
ZLVSgLGIBt50,85303,assis,SP
26bdBz0weg9K,28145,carapicuiba,SP
6rX0opAYaf5O,92323,santos,SP
WnCydkx96ul3,13609,buenopolis,MG
5aMM3LwvZE6p,9655,recife,PE
nOJb8kxjeqMu,89202,caxias do sul,RS
9QRPPukPDKtj,37136,betim,MG
Aecwfm7Hmsal,13170,cascavel,PR
txfGakDnlUkr,35325,lagoa d'anta,RN
