order_id,product_id,seller_id,price,shipping_charges
Axfy13Hk4PIk,90K0C1fIyQUf,ZWM05J9LcBSF,223.51,84.65
Dd0QnrMk9Cj5,1lycYGcsic2F,l1pYW6GBnPMr,779.9,30.66
VjTVGzqe8U6R,TpFZIk33uyGn,XePbD5Ocm6Yk,263.9,40.26
mHyhzcUeLGj2,wdV7yJzaz3Su,coi9xkdo66JI,135.91,48.71
kxa1InBj9gwP,DXG0TFaZjGHO,V8Stg8HdXCTe,36.89,59.0
j5rwgECNf14O,tfgKHMdnTKpJ,RsUgQvBvc24M,185.6,21.82
NXDsEGbl1pUC,E9OiMOkPkNam,coi9xkdo66JI,318.33,27.57
xfXLgLbCo5BC,06Zem5ml9euJ,l1pYW6GBnPMr,68.0,20.9
yUz40ih0jYGt,yZJweQSasMAW,yfNN6zuwypOw,17.6,68.69
IeZYtitws7WU,kgF2KLJ8Ao3M,3Q4DoxWsVAXa,37.84,56.27
ZPkh9QhjG7SK,8kUYWjdaVCxf,oI8R7WsNWWBc,50.21,161.82
SelY2hgVvruM,R2u3pJSgF7Gr,OnC6iPAbNc8Z,59.88,37.93
0QqNX4xLriht,lSVmLWTOmgtw,rFT13UJuGo0Q,28.69,57.11
00NEIdaOTIgn,Mh5csf65CB6I,UOGIrJtSldvd,223.87,31.01
XprtHqpLEddw,hfEa3c65LTA2,0Mzbc3aACMOQ,55.83,3.45
x0fzGpICAZ0w,th6S1t44GAij,B025lNndXwWx,231.27,82.44
YUX432Je58GK,fUSMr8Wo77AI,l1pYW6GBnPMr,820.05,133.37
UaZKqhLFwRZP,AQRgJU930yvK,TAkMUTMwlNUw,26.86,140.4
lo8oje94TYb7,f21OMkeWX2ZC,ozjiHoSKwUks,79.49,51.91
3ffaVBUrnCxy,aZ1aneUqyncU,XLxN4hdOlYco,475.0,50.28
Rd6Tke4v8afv,DXG0TFaZjGHO,V8Stg8HdXCTe,403.9,49.72
gZMKyNzWXvcQ,GJ4e2xEfaCmh,oI8R7WsNWWBc,31.0,5.59
hyJjgFRI44lc,zTW2bowvLdj9,zyhKQqd3kGqW,129.46,6.87
Vtkwb0b4JxKg,YG7qG1MQlhjp,3t74Pe6EQyNu,206.57,29.68
z9Zr742C0ASe,UjLE7WsWfgrO,Fh5z5uvA4neX,218.98,6.87
AayA35wXEdbB,nvbYOXncMsv0,uhfmBPCbZg6B,139.79,47.82
vFUriN4pz2Bi,4BAZNq7FQZOV,oqejBC0typqo,198.5,76.76
1CVQ66HlMRUR,G16XPtJuiBOe,nOpV5DDruGvj,17.91,32.34
pNSYSUcXxkhB,97fSQlZJl4P8,n3xQr5wHpHRX,24.79,13.92
9AWAHq3HWS6u,mwlDII1pL31s,p7zV0UTQOu6w,184.9,52.37
DlmtCXqKjfWj,N9wgqW59QGza,vxQT8FlJeDdN,80.75,12.86
KqH0sXMHdItQ,n3QjhUa3JbkT,TJ6FVACdM0WN,509.0,30.66
1pgvtCG93rNg,DMB6KqQisnZE,aeWbd3M28ShO,148.5,67.48
iWJeaLiduq7C,OEoHcaKHbdiB,SdNJoEI8fcgb,168.1,31.97
1vz8w7BjKsWC,Ggd3U51peXoq,8cMMpAAFEsxE,15.89,50.28
TySAT9hqufKc,daiqbsoofbQ7,EZcvC15JiPPz,98.6,12.28
Y72RuFd0mZnO,dAz11YkQkoue,TuPm19CMKvrM,59.21,32.34
O2vxSz1Ohmit,GvBzGCvvIC2D,v4i9GZGfxgTZ,679.0,29.06
CEHnEFl5VOdj,BuMA9g0RCLlr,TBkUw9PKrND5,78.8,20.25
JYzOn3Ha1rNQ,K9inDFpRP1Y5,nQlmkVGs3xYh,28.82,63.11
YjpdVhpi6ke5,sZPDopwjwXU1,T5TAziawiIyq,2799.65,56.27
6NKIoWu3AOZS,KDNXKv9s2evT,A7s2wiNKJ3HW,16.89,21.91
